23183 {'start_flag': False, 'quality': 15, 'angle': 149.828125, 'distance': 661.5}
23184 {'start_flag': False, 'quality': 15, 'angle': 151.015625, 'distance': 681.0}
23185 {'start_flag': False, 'quality': 15, 'angle': 152.0, 'distance': 701.75}
23186 {'start_flag': False, 'quality': 15, 'angle': 154.375, 'distance': 427.0}
23187 {'start_flag': False, 'quality': 15, 'angle': 155.78125, 'distance': 430.75}
23188 {'start_flag': False, 'quality': 15, 'angle': 156.671875, 'distance': 438.0}
23189 {'start_flag': False, 'quality': 15, 'angle': 158.015625, 'distance': 434.75}
23190 {'start_flag': False, 'quality': 15, 'angle': 159.09375, 'distance': 441.25}
23191 {'start_flag': False, 'quality': 15, 'angle': 160.3125, 'distance': 445.25}
23192 {'start_flag': False, 'quality': 15, 'angle': 161.21875, 'distance': 444.5}
23193 {'start_flag': False, 'quality': 15, 'angle': 162.65625, 'distance': 437.5}
23194 {'start_flag': False, 'quality': 15, 'angle': 163.609375, 'distance': 437.5}
23195 {'start_flag': False, 'quality': 15, 'angle': 164.765625, 'distance': 438.5}
23196 {'start_flag': False, 'quality': 15, 'angle': 165.796875, 'distance': 443.0}
23197 {'start_flag': False, 'quality': 15, 'angle': 167.171875, 'distance': 444.75}
23198 {'start_flag': False, 'quality': 15, 'angle': 168.125, 'distance': 451.75}
23199 {'start_flag': False, 'quality': 15, 'angle': 169.359375, 'distance': 455.0}
23200 {'start_flag': False, 'quality': 15, 'angle': 170.53125, 'distance': 460.0}
23201 {'start_flag': False, 'quality': 15, 'angle': 171.515625, 'distance': 464.25}
23202 {'start_flag': False, 'quality': 15, 'angle': 172.625, 'distance': 466.25}
23203 {'start_flag': False, 'quality': 15, 'angle': 173.703125, 'distance': 472.75}
23204 {'start_flag': False, 'quality': 15, 'angle': 175.0625, 'distance': 478.0}
23205 {'start_flag': False, 'quality': 15, 'angle': 176.0625, 'distance': 481.25}
23206 {'start_flag': False, 'quality': 15, 'angle': 177.3125, 'distance': 489.75}
23207 {'start_flag': False, 'quality': 15, 'angle': 178.328125, 'distance': 494.75}
23208 {'start_flag': False, 'quality': 15, 'angle': 179.421875, 'distance': 504.0}
23209 {'start_flag': False, 'quality': 15, 'angle': 180.515625, 'distance': 517.75}
23210 {'start_flag': False, 'quality': 15, 'angle': 186.796875, 'distance': 0.0}
23211 {'start_flag': False, 'quality': 14, 'angle': 187.953125, 'distance': 0.0}
23212 {'start_flag': False, 'quality': 15, 'angle': 183.578125, 'distance': 589.5}
23213 {'start_flag': False, 'quality': 0, 'angle': 190.25, 'distance': 0.0}
23214 {'start_flag': False, 'quality': 0, 'angle': 191.40625, 'distance': 0.0}
23215 {'start_flag': False, 'quality': 0, 'angle': 192.5625, 'distance': 0.0}
23216 {'start_flag': False, 'quality': 15, 'angle': 193.71875, 'distance': 0.0}
23217 {'start_flag': False, 'quality': 15, 'angle': 187.359375, 'distance': 3058.0}
23218 {'start_flag': False, 'quality': 15, 'angle': 188.5, 'distance': 3064.25}
23219 {'start_flag': False, 'quality': 0, 'angle': 197.015625, 'distance': 0.0}
23220 {'start_flag': False, 'quality': 15, 'angle': 191.40625, 'distance': 1374.75}
23221 {'start_flag': False, 'quality': 15, 'angle': 192.578125, 'distance': 1357.25}
23222 {'start_flag': False, 'quality': 15, 'angle': 193.90625, 'distance': 1101.5}
23223 {'start_flag': False, 'quality': 15, 'angle': 195.109375, 'distance': 1101.5}
23224 {'start_flag': False, 'quality': 15, 'angle': 196.21875, 'distance': 1111.25}
23225 {'start_flag': False, 'quality': 15, 'angle': 197.390625, 'distance': 1161.5}
23226 {'start_flag': False, 'quality': 15, 'angle': 198.53125, 'distance': 1133.5}
23227 {'start_flag': False, 'quality': 15, 'angle': 199.71875, 'distance': 1136.5}
23228 {'start_flag': False, 'quality': 15, 'angle': 200.84375, 'distance': 1125.5}
23229 {'start_flag': False, 'quality': 15, 'angle': 201.953125, 'distance': 1129.0}
23230 {'start_flag': False, 'quality': 15, 'angle': 203.140625, 'distance': 1113.25}
23231 {'start_flag': False, 'quality': 15, 'angle': 204.390625, 'distance': 1134.5}
23232 {'start_flag': False, 'quality': 15, 'angle': 205.46875, 'distance': 1131.5}
23233 {'start_flag': False, 'quality': 15, 'angle': 206.640625, 'distance': 1111.5}
23234 {'start_flag': False, 'quality': 15, 'angle': 207.734375, 'distance': 1158.0}
23235 {'start_flag': False, 'quality': 15, 'angle': 208.953125, 'distance': 1182.0}
23236 {'start_flag': False, 'quality': 15, 'angle': 210.046875, 'distance': 1168.0}
23237 {'start_flag': False, 'quality': 15, 'angle': 211.21875, 'distance': 1172.25}
23238 {'start_flag': False, 'quality': 15, 'angle': 212.390625, 'distance': 1170.25}
23239 {'start_flag': False, 'quality': 15, 'angle': 213.546875, 'distance': 1166.25}
23240 {'start_flag': False, 'quality': 15, 'angle': 214.609375, 'distance': 1199.75}
23241 {'start_flag': False, 'quality': 15, 'angle': 215.84375, 'distance': 1186.75}
23242 {'start_flag': False, 'quality': 15, 'angle': 216.96875, 'distance': 1179.0}
23243 {'start_flag': False, 'quality': 15, 'angle': 218.125, 'distance': 1184.0}
23244 {'start_flag': False, 'quality': 15, 'angle': 219.171875, 'distance': 1347.75}
23245 {'start_flag': False, 'quality': 15, 'angle': 220.28125, 'distance': 1415.5}
23246 {'start_flag': False, 'quality': 15, 'angle': 221.390625, 'distance': 1464.75}
23247 {'start_flag': False, 'quality': 0, 'angle': 229.53125, 'distance': 0.0}
23248 {'start_flag': False, 'quality': 15, 'angle': 230.703125, 'distance': 0.0}
23249 {'start_flag': False, 'quality': 15, 'angle': 224.109375, 'distance': 5673.75}
23250 {'start_flag': False, 'quality': 15, 'angle': 225.25, 'distance': 5700.75}
23251 {'start_flag': False, 'quality': 14, 'angle': 226.4375, 'distance': 5804.75}
23252 {'start_flag': False, 'quality': 14, 'angle': 227.578125, 'distance': 5925.75}
23253 {'start_flag': False, 'quality': 15, 'angle': 228.796875, 'distance': 4606.75}
23254 {'start_flag': False, 'quality': 15, 'angle': 229.953125, 'distance': 4371.25}
23255 {'start_flag': False, 'quality': 15, 'angle': 231.125, 'distance': 4314.25}
23256 {'start_flag': False, 'quality': 15, 'angle': 232.3125, 'distance': 4181.25}
23257 {'start_flag': False, 'quality': 15, 'angle': 233.453125, 'distance': 4151.75}
23258 {'start_flag': False, 'quality': 15, 'angle': 234.609375, 'distance': 4095.5}
23259 {'start_flag': False, 'quality': 15, 'angle': 235.765625, 'distance': 4010.0}
23260 {'start_flag': False, 'quality': 15, 'angle': 236.9375, 'distance': 3928.0}
23261 {'start_flag': False, 'quality': 15, 'angle': 238.09375, 'distance': 4092.25}
23262 {'start_flag': False, 'quality': 15, 'angle': 239.25, 'distance': 4002.25}
23263 {'start_flag': False, 'quality': 15, 'angle': 240.390625, 'distance': 3956.0}
23264 {'start_flag': False, 'quality': 15, 'angle': 241.5625, 'distance': 3916.25}
23265 {'start_flag': False, 'quality': 15, 'angle': 242.71875, 'distance': 3887.5}
23266 {'start_flag': False, 'quality': 15, 'angle': 243.890625, 'distance': 3795.0}
23267 {'start_flag': False, 'quality': 15, 'angle': 245.0625, 'distance': 3751.75}
23268 {'start_flag': False, 'quality': 13, 'angle': 246.25, 'distance': 3445.5}
23269 {'start_flag': False, 'quality': 14, 'angle': 247.375, 'distance': 3567.5}
23270 {'start_flag': False, 'quality': 15, 'angle': 248.53125, 'distance': 3615.25}
23271 {'start_flag': False, 'quality': 15, 'angle': 249.6875, 'distance': 3599.25}
23272 {'start_flag': False, 'quality': 15, 'angle': 250.84375, 'distance': 3587.0}
23273 {'start_flag': False, 'quality': 15, 'angle': 252.015625, 'distance': 3573.5}
23274 {'start_flag': False, 'quality': 15, 'angle': 253.15625, 'distance': 3521.75}
23275 {'start_flag': False, 'quality': 12, 'angle': 254.34375, 'distance': 3227.25}
23276 {'start_flag': False, 'quality': 15, 'angle': 255.515625, 'distance': 3246.75}
23277 {'start_flag': False, 'quality': 0, 'angle': 264.21875, 'distance': 0.0}
23278 {'start_flag': False, 'quality': 15, 'angle': 261.0625, 'distance': 408.75}
23279 {'start_flag': False, 'quality': 0, 'angle': 266.53125, 'distance': 0.0}
23280 {'start_flag': False, 'quality': 0, 'angle': 267.6875, 'distance': 0.0}
23281 {'start_flag': False, 'quality': 0, 'angle': 268.84375, 'distance': 0.0}
23282 {'start_flag': False, 'quality': 0, 'angle': 270.0, 'distance': 0.0}
23283 {'start_flag': False, 'quality': 0, 'angle': 271.15625, 'distance': 0.0}
23284 {'start_flag': False, 'quality': 0, 'angle': 272.3125, 'distance': 0.0}
23285 {'start_flag': False, 'quality': 0, 'angle': 273.46875, 'distance': 0.0}
23286 {'start_flag': False, 'quality': 0, 'angle': 274.625, 'distance': 0.0}
23287 {'start_flag': False, 'quality': 0, 'angle': 275.78125, 'distance': 0.0}
23288 {'start_flag': False, 'quality': 0, 'angle': 276.9375, 'distance': 0.0}
23289 {'start_flag': False, 'quality': 0, 'angle': 278.09375, 'distance': 0.0}
23290 {'start_flag': False, 'quality': 0, 'angle': 279.25, 'distance': 0.0}
23291 {'start_flag': False, 'quality': 0, 'angle': 280.40625, 'distance': 0.0}
23292 {'start_flag': False, 'quality': 10, 'angle': 278.015625, 'distance': 341.5}
23293 {'start_flag': False, 'quality': 12, 'angle': 279.359375, 'distance': 333.5}
23294 {'start_flag': False, 'quality': 15, 'angle': 279.875, 'distance': 336.75}
23295 {'start_flag': False, 'quality': 12, 'angle': 281.28125, 'distance': 334.75}
23296 {'start_flag': False, 'quality': 7, 'angle': 282.53125, 'distance': 333.75}
23297 {'start_flag': False, 'quality': 0, 'angle': 287.15625, 'distance': 0.0}
